NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2015;35;SP;3509403;Cajuru;35024200;MESSIAS DA FONSECA DOUTOR;2;1;58;1;29;50,00;450,27;543,59;485,66;449,93;484,83;NA;NA;Grupo 3;72,6;82,76;95,4;0,0;4,6;De 31 a 60 alunos
2015;35;SP;3550902;São Simão;35024259;VIRGILIO GARCIA CAPITAO;2;1;51;0;35;68,63;468,56;495,94;458,61;426,45;516,00;NA;NA;Grupo 3;87,6;88,57;79,3;20,2;0,5;De 31 a 60 alunos
2015;35;SP;3513108;Cravinhos;35024260;FRANCISCO GOMES PROFESSOR;2;1;68;0;39;57,35;471,49;546,29;481,19;423,91;526,67;NA;NA;Grupo 4;68,4;97,44;92,9;3,9;3,2;De 61 a 90 alunos
2015;35;SP;3547502;Santa Rita do Passa Quatro;35024284;NELSON FERNANDES;2;1;47;0;24;51,06;477,86;559,55;514,89;461,41;468,33;NA;NA;Grupo 4;75,0;79,17;90,9;7,1;2,0;De 31 a 60 alunos
2015;35;SP;3547601;Santa Rosa de Viterbo;35024314;FRANCISCO MATARAZZO CONDE;2;1;151;2;78;51,66;457,75;533,81;475,48;453,57;517,44;NA;NA;Grupo 3;73,1;76,92;62,0;18,6;19,4;Maior que 90 alunos
2015;35;SP;3550902;São Simão;35024348;FRANCISCO DOS SANTOS PROF ETEC;2;2;30;0;26;86,67;516,47;579,83;535,95;487,11;547,69;NA;NA;Grupo 3;63,8;96,15;97,0;2,2;0,8;De 1 a 30 alunos
2015;35;SP;3547502;Santa Rita do Passa Quatro;35024363;MANOEL DOS REIS ARAUJO ETEC;2;1;48;2;37;77,08;478,24;547,64;508,30;468,91;521,62;NA;NA;Grupo 4;59,7;94,59;97,0;3,0;0,0;De 31 a 60 alunos
2015;35;SP;3550902;São Simão;35024375;AGENOR MEDEIROS PROFESSOR;2;1;63;0;37;58,73;470,11;523,39;481,81;458,71;491,35;NA;NA;Grupo 4;53,8;81,08;84,6;10,4;5,0;De 61 a 90 alunos
2015;35;SP;3510906;Cássia dos Coqueiros;35024399;ABEL DOS REIS;2;1;39;0;30;76,92;468,15;533,42;483,28;463,69;480,00;NA;NA;Grupo 3;50,6;93,33;100,0;0,0;0,0;De 31 a 60 alunos
2015;35;SP;3548906;São Carlos;35024442;SEBASTIAO DE OLIVEIRA ROCHA PROFESSOR;2;1;12;0;10;83,33;458,96;531,89;513,26;470,58;548,00;NA;NA;Grupo 4;97,2;80,00;98,4;1,6;0,0;De 1 a 30 alunos
2015;35;SP;3548906;São Carlos;35024478;JESUINO DE ARRUDA;2;1;292;8;159;54,45;473,80;542,47;508,68;470,99;516,98;NA;NA;Grupo 4;82,9;71,07;81,7;14,4;3,9;Maior que 90 alunos
2015;35;SP;3548906;São Carlos;35024485;JOSE JULIANO NETO PROFESSOR;2;1;112;0;67;59,82;463,76;540,22;498,76;472,17;525,37;NA;NA;Grupo 4;88,4;88,06;90,9;8,6;0,5;Maior que 90 alunos
2015;35;SP;3548906;São Carlos;35024512;ALVARO GUIAO DOUTOR;2;1;307;2;234;76,22;477,40;551,91;510,58;465,29;576,15;NA;NA;Grupo 4;79,2;70,09;98,9;1,1;0,0;Maior que 90 alunos
2015;35;SP;3548906;São Carlos;35024557;ARLINDO BITTENCOURT PROFESSOR;2;1;109;3;77;70,64;478,77;557,69;520,34;471,93;531,43;NA;NA;Grupo 4;57,6;89,61;97,5;2,2;0,3;Maior que 90 alunos
2015;35;SP;3548906;São Carlos;35024569;PAULINO BOTELHO ETEC;2;1;158;12;145;91,77;551,72;630,58;581,81;583,65;682,48;NA;NA;Grupo 5;59,6;91,72;97,5;1,5;1,0;Maior que 90 alunos
2015;35;SP;3533601;Nuporanga;35024659;MARIA CAROLINA DE LIMA DONA;2;1;69;0;37;53,62;467,81;541,03;491,35;471,92;502,16;NA;NA;Grupo 3;75,0;86,49;98,2;0,0;1,8;De 61 a 90 alunos
2015;35;SP;3549409;São Joaquim da Barra;35024715;MANOEL GOUVEIA DE LIMA;2;1;148;0;87;58,78;453,67;526,37;495,99;450,58;539,77;NA;NA;Grupo 4;80,9;75,86;94,7;3,5;1,8;Maior que 90 alunos
2015;35;SP;3549409;São Joaquim da Barra;35024797;PEDRO BADRAN ETEC;2;1;120;0;112;93,33;523,94;610,33;567,24;520,83;624,82;NA;NA;Grupo 4;64,8;95,54;99,2;0,0;0,8;Maior que 90 alunos
2015;35;SP;3534302;Orlândia;35024824;ALCIDIO DE SOUZA PRADO PROF ETEC;2;1;149;0;141;94,63;506,05;583,02;539,96;518,45;623,83;NA;NA;Grupo 4;64,3;86,52;93,5;6,3;0,2;Maior que 90 alunos
